"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15818","test TA EDT TC02 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","19532","test TA ADD TC06 positive save and create another","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","12426","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","13209","test TA EDT TC03 positive leverage validation","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","12695","test TA TBL TC11 positive column sorting","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","8138","test TA ADD TC04 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","5124","test TA DEL TC02 positive cancel from edit panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","10641","test TA EDT TC01 positive default state","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","4441","test TA DEL TC07 positive network error from action","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","11216","test TA TBL TC10 positive search by whitespace no trim","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","8099","test TA ADD TC03 positive leverage validation","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","12851","test TA ADD TC05 positive success creation","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","16523","test TA EDT TC06 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","5673","test TA DEL TC03 positive after filled edit form","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","11197","test TA TBL TC10 positive search by whitespace no trim","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","16528","test TA EDT TC06 positive close panel","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","7379","test TA ADD TC01 positive default state","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","14216","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","10120","test TA TBL TC10 positive search clearance","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","14994","test TA EDT TC05 positive success single field","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Edit","",""
"","12357","test TA TBL TC10 positive search by partial match","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","4729","test TA DEL TC01 positive cancel from action","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","1341","test TA ADD TC02 positive trading user validation inactive","AQX","2026-05-12","passed","2026-05-12","","Accounts - Trading Accounts - Panel Add","",""
"","11021","test TA TBL TC10 positive search by case insensitive","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","12096","test TA TBL TC04 positive table pagination page number","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","1082","test TA VIW TC04 negative view deleted record","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","2808","test TA DEL TC08 negative delete failed","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Delete","",""
"","1095","test TA TBL TC10 positive search by non exist keyword","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
"","2451","test TA VIW TC05 positive close panel","AQX","2026-05-11","passed","2026-05-11","","Accounts - Trading Accounts - Panel View","",""
"","14786","test TA TBL TC12 positive column sorting with search","AQX","2026-05-09","passed","2026-05-09","","Accounts - Trading Accounts - Table","",""
